Year,Alternative Rock %,Indie Rock %,Pop Rock %,Art Pop %,Art Rock %,Blues Rock %,Hard Rock %,New Wave %,Folk Rock %,Indie Pop %,Hard Bop %,Alt-Country %,Contemporary Folk %,Post-Punk %,Contemporary R&B %,Singer/Songwriter %,Chamber Pop %,Conscious Hip Hop %,Avant-Garde Jazz %,Britpop %
1940,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571,0.0,0.1429,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0
1960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0
1961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4545,0.0
1962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7143,0.0,0.1429,0.0,0.0,0.0,0.0,0.0,0.1429,0.0
1964,0.0,0.0,0.0909,0.0,0.0,0.2727,0.0,0.0,0.0,0.0,0.1818,0.0,0.1818,0.0,0.0,0.0,0.0,0.0,0.2727,0.0
1965,0.0,0.0,0.2143,0.0,0.0,0.0714,0.0,0.0,0.2143,0.0,0.2143,0.0,0.1429,0.0,0.0,0.0,0.0,0.0,0.1429,0.0
1966,0.0,0.0,0.1429,0.0,0.0,0.3571,0.0,0.0,0.1429,0.0,0.0714,0.0,0.1429,0.0,0.0,0.0,0.0,0.0,0.1429,0.0
1967,0.0,0.0,0.1667,0.0556,0.1111,0.2222,0.0,0.0,0.1111,0.0,0.1667,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1968,0.0,0.0,0.1875,0.0,0.125,0.3125,0.0625,0.0,0.1875,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0625,0.0
1969,0.0,0.0,0.1053,0.0526,0.1053,0.4211,0.0,0.0,0.1053,0.0,0.0,0.0,0.1579,0.0,0.0,0.0,0.0,0.0,0.0526,0.0
1970,0.0,0.0,0.2258,0.0,0.0323,0.1613,0.1613,0.0,0.2258,0.0,0.0,0.0,0.0645,0.0,0.0,0.0645,0.0,0.0,0.0645,0.0
1971,0.0,0.0,0.2,0.04,0.04,0.2,0.16,0.0,0.16,0.0,0.0,0.0,0.16,0.0,0.0,0.04,0.0,0.0,0.0,0.0
1972,0.0,0.0,0.0556,0.0,0.1111,0.2778,0.2222,0.0,0.1667,0.0,0.0,0.0,0.0556,0.0,0.0,0.1111,0.0,0.0,0.0,0.0
1973,0.0,0.0,0.1579,0.1053,0.3158,0.0526,0.1579,0.0,0.0526,0.0,0.0,0.0,0.0,0.0,0.0,0.1053,0.0,0.0,0.0526,0.0
1974,0.0,0.0,0.0476,0.1429,0.4286,0.1429,0.0476,0.0,0.0476,0.0,0.0,0.0,0.0,0.0,0.0,0.1429,0.0,0.0,0.0,0.0
1975,0.0,0.0,0.2,0.0,0.25,0.05,0.2,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0
1976,0.0,0.0,0.1364,0.0,0.0455,0.0455,0.4091,0.0455,0.0909,0.0,0.0,0.0,0.0455,0.0,0.0,0.1818,0.0,0.0,0.0,0.0
1977,0.0,0.0,0.1818,0.0,0.2727,0.0455,0.1364,0.1818,0.0,0.0,0.0,0.0,0.0455,0.0455,0.0,0.0455,0.0,0.0,0.0455,0.0
1978,0.0,0.0,0.0,0.0556,0.0556,0.0,0.3333,0.3889,0.0556,0.0,0.0,0.0,0.0,0.0556,0.0,0.0556,0.0,0.0,0.0,0.0
1979,0.0,0.0,0.069,0.0345,0.1034,0.0345,0.1379,0.3103,0.0345,0.0,0.0,0.0,0.0,0.2069,0.0,0.0,0.0,0.0,0.069,0.0
1980,0.0,0.0,0.1667,0.0333,0.1,0.0333,0.1667,0.3,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0333,0.0
